MI,Bachelor's,21.8,2000
MI,High School,83.4,2000
RI,Bachelor's,25.6,2000
RI,High School,78.0,2000
KS,Bachelor's,25.8,2000
KS,High School,86.0,2000
MT,Bachelor's,24.4,2000
MT,High School,87.2,2000
MS,Bachelor's,16.9,2000
MS,High School,72.9,2000
SC,Bachelor's,20.4,2000
SC,High School,76.3,2000
KY,Bachelor's,17.1,2000
KY,High School,74.1,2000
OR,Bachelor's,25.1,2000
OR,High School,85.1,2000
SD,Bachelor's,21.5,2000
SD,High School,84.6,2000
WA,Bachelor's,31.1,2010
WA,High School,89.8,2010
DE,Bachelor's,27.8,2010
DE,High School,87.7,2010
DC,Bachelor's,50.1,2010
DC,High School,87.4,2010
WI,Bachelor's,26.3,2010
WI,High School,90.1,2010
WV,Bachelor's,17.5,2010
WV,High School,83.2,2010
HI,Bachelor's,29.5,2010
HI,High School,89.9,2010
FL,Bachelor's,25.8,2010
FL,High School,85.5,2010
WY,Bachelor's,24.1,2010
WY,High School,92.3,2010
NH,Bachelor's,32.8,2010
NH,High School,91.5,2010
NJ,Bachelor's,35.4,2010
NJ,High School,88.0,2010
NM,Bachelor's,25.0,2010
NM,High School,83.3,2010
TX,Bachelor's,25.9,2010
TX,High School,80.7,2010
LA,Bachelor's,21.4,2010
LA,High School,81.9,2010
NC,Bachelor's,26.5,2010
NC,High School,84.7,2010
ND,Bachelor's,27.6,2010
ND,High School,90.3,2010
NE,Bachelor's,28.6,2010
NE,High School,90.4,2010
TN,Bachelor's,23.1,2010
TN,High School,83.6,2010
NY,Bachelor's,32.5,2010
NY,High School,84.9,2010
PA,Bachelor's,27.1,2010
PA,High School,88.4,2010
CA,Bachelor's,30.1,2010
CA,High School,80.7,2010
NV,Bachelor's,21.7,2010
NV,High School,84.7,2010
VA,Bachelor's,34.2,2010
VA,High School,86.5,2010
CO,Bachelor's,36.4,2010
CO,High School,89.7,2010
AK,Bachelor's,27.9,2010
AK,High School,91.0,2010
AL,Bachelor's,21.9,2010
AL,High School,82.1,2010
AR,Bachelor's,19.5,2010
AR,High School,82.9,2010
VT,Bachelor's,33.6,2010
VT,High School,91.0,2010
IL,Bachelor's,30.8,2010
IL,High School,86.9,2010
GA,Bachelor's,27.3,2010
GA,High School,84.3,2010
IN,Bachelor's,22.7,2010
IN,High School,87.0,2010
IA,Bachelor's,24.9,2010
IA,High School,90.6,2010
OK,Bachelor's,22.9,2010
OK,High School,86.2,2010
AZ,Bachelor's,25.9,2010
AZ,High School,85.6,2010
ID,Bachelor's,24.4,2010
ID,High School,88.3,2010
CT,Bachelor's,35.5,2010
CT,High School,88.6,2010
ME,Bachelor's,26.8,2010
ME,High School,90.3,2010
MD,Bachelor's,36.1,2010
MD,High School,88.1,2010
MA,Bachelor's,39.0,2010
MA,High School,89.1,2010
OH,Bachelor's,24.6,2010
OH,High School,88.1,2010
UT,Bachelor's,29.3,2010
UT,High School,90.6,2010
MO,Bachelor's,25.6,2010
MO,High School,86.9,2010
MN,Bachelor's,31.8,2010
MN,High School,91.8,2010
MI,Bachelor's,25.2,2010
MI,High School,88.7,2010
RI,Bachelor's,30.2,2010
RI,High School,83.5,2010
KS,Bachelor's,29.8,2010
KS,High School,89.2,2010
MT,Bachelor's,28.8,2010
MT,High School,91.7,2010
MS,Bachelor's,19.5,2010
MS,High School,81.0,2010
SC,Bachelor's,24.5,2010
SC,High School,84.1,2010
KY,Bachelor's,20.5,2010
KY,High School,81.9,2010
OR,Bachelor's,28.8,2010
OR,High School,88.8,2010
SD,Bachelor's,26.3,2010
SD,High School,89.6,2010
